step	type	slot_values
0	policy	0.017126,0.078806,0.057176,0.169362,0.087517,0.094977
0	value	0.041867,0.008205,0.046165,0.076826,0.246716,0.101961
1	policy	0.010839,0.094963,0.062153,0.204796,0.080433,0.093176
1	value	0.022904,0.008280,0.032798,0.051259,0.175693,0.065284
2	policy	0.010024,0.094882,0.057896,0.253141,0.114292,0.097670
2	value	0.023452,0.009460,0.038718,0.046139,0.298625,0.047667
3	policy	0.007696,0.103428,0.054516,0.447998,0.128904,0.099354
3	value	0.024167,0.011875,0.041051,0.092536,0.541622,0.049814
4	policy	0.006545,0.110210,0.053706,0.759071,0.286922,0.267416
4	value	0.027657,0.014931,0.047462,0.307788,0.859650,0.283408
